Δαρείου	OF DARIUS
τῆς	(my)
πατρίδος,	country,
τε	| and
τα	the
ἄλλα,	others,
καὶ	and also in other things),
ἔδωκε	and (in particular) he-gave (me)
μυρίους	ten-thousand
δαρεικούς	darics
οὓς	which
ἐγὼ	I
λαβών,	having-taken,
οὐ	'did not
κατεθέμην	'put-by
ἐμοὶ	for-myself
εἰς	for
τὸ	- (my)
ἴδιον,	own-private (use),
ἀλλ'	neither
οὐδε	did-I-spend-it-in-luxury,
καθηδυπάθησα,	but
ἀλλ'	I-spent-it
ἐδαπάνων	for
εἰς	you.
ὑμᾶς.	For
Καὶ	first
πρῶτον	I-made-war
μὲν	against
ἐπολέμησα	the
πρὸς	Thracians,
τοὺς	and
Θρᾷκας,	together-with
καὶ	you
μεθ᾽	I-took-vengeance
ὑμῶν	(on them)
ἐτιμωρούμην	for
ὑπὲρ	Greece,
τῆς	expelling
Ἑλλάδος,	them
ἐξελαύνων	from
αὐτοὺς	the
ἐκ	Chersonesus,
τῆς	(they)
Χεῤῥονήσου,	desiring
βουλομένους	to-take-away
ἀφαιρεῖσθαι	the
τὴν	land
γῆν	(of)
τοὺς	the
Ἕλληνας	Greeks
ἐνοικοῦτας.	dwelling-there.
Ἐπειδη	After
δὲ	Cyrus
Κῦρος	called-me
ἐκάλει	I-went,
ἐπορευόμεν,	taking
λαβὼν	you
ὑμᾶς,	(with me),
ἵνα	in-order-that
εἴ	if
τι	he-might-need
δέοιτο	(my assistance)
ὠφελοίην	I-might-help
αὐτὸν	him
ἀνθ'	| for
ὧν	(those things)
ἔπαθον	of-which
εὖ	I-was-affected
ὑπ᾽	beneficially
ἐκείνου.	by him [in return for the benefits I have received from him].
Ἐπεὶ	Since
δὲ	however
ὑμεῖς	you
βούλεσθε	wish
οὐ	not
συμπορεύεσθαι,	to-accompany (him),
ἀνάγκε	| the-necessity
δή	(is)
μοι	to-me [I am constrained]
προδόντα	either (by) deserting
ὑμᾶς	you
χρῆσθαι	1to-use
τῇ	the
φιλίᾳ	friendshin
Κύρου,	of-Cyrus, [to preserve the friendship of Cyrus],
ἢ	or
ψευσάμενον	having-deceived (him by being false)
πρὸς	towards
ἐκεῖνον	him
ἰέναι	to-go
μεθ᾽	with
ὑμῶν.	you.
Εἰ	| If
μὲν	indeed
δὴ	I-shall-make
ποιήσω	just-things
δίκαια	I-know
οἶδα	not
οὐκ	[whether indeed I shall act correctly, I know not]
αἱρήσομαι	I-shall-hold
δ'	therefore
οὖν	(to)
ὑμᾶς,	you,
καὶ	and
συν	with
ὑμῖν	you
πείσομαι	will-submit-to
ὅ	what
τι	may
ἂν	be-necessary.
δέη.	| And
Καὶ	no-one
οὐδείς	shall
οἴποτε	never
ἐρεῖ,	'have-said, [and no one shall ever say),
ὡς	that
ἐγω	I
ἀγαγὼν	having-led
Ἕλληνας	Greeks
εἰς	among
τοὺς	the
βαρβάρους,	barbarians,
προδούς	deserting
τοὺς	the
Ἕλληνας	Greeks
εἱλόμεν	took-in-preference
την	the
φιλίαν	friendship
τῶν	of-the
βαρβάρων.	barbarians.
᾿Αλλ'	But
ἐπεὶ	since
ὑμεῖς	you
οὐ	'do not
θέλετε	'desire
πείθεσθαι	to-obey
ἐμοὶ	me
οὐδὲ	nor
ἕπεσθαι,	to-follow (me),
ἐγὼ	I
ἔψομαι	will-follow
σὺν	(with)
ὑμῖν,	you,
καὶ	and
πείσομαι	will-submit-to
τι	what
ἂν	may
δέῃ.	be-necessary.
Γὰρ	For
νομίζω	I-consider
ὑμᾶς	you
εἶναι	to-be
ἐμοὶ	to-me
καὶ	(and)
πατρίδα	(my) country,
καὶ	and
φίλους	(my) friends
καὶ	and
συμμάχους,	(my) fellow-soldiers,
καὶ	and
ἂν	'I may
μὲν	indeed
οἶμαι	'think
σὺν	(that) with
ὑμῖν	you (I am)
εἶναι	to-be
τίμιος	honoured
ὅπου	wherever
ἂν	'I may
ὦ,	'be,
δὲ	but
ὧν	being
ἔρημος	destitute
ὑμῶν,	of-you,
ἂν	I may
οἶμαι	'think
οὐκ	(myself) not
εἶναι	to-be
ἱκανὸς	competent
οὔτ᾽	either
ἂν	-
ὠφελῆσαι	to-help
φίλον,	(a) friend,
οὔτ᾽	or
ἂν	to-repel
ἀλέξασθαι	(an)
ἐχθρὸν.	enemy.
Ὡς	That
οὖν	therefore
ἐμοῦ	I am-going,
ἰόντος,	where
ὅπη	also
καὶ	you
ὑμεῖς	may
ἂν,	(be going),
οὕτο	then
ἔχετε	hold-to
τὴν	(this)
γνώμην.	opinion (that I am determined to go with you).
Ταῦτα	| These-things
εἶπε·	he-said [thus did he speak];
δὲ	and
οἱ	the
στρατιῶται,	soldiers,
οἱ	|-as-well
τε	of-those
ἐκείνου	of-himself,
αὐτοῦ	[as well those of his own command],
καὶ	as
οἱ	the
ἄλλοι,	others,
ἀκούσαντες	hearing
ταῦτα,	these-things,
ὅτι	that
φαίη	he-should-say
οὐ	(that he was) not
πορεύεσθαι	to-march-forth
παρα	against
βασιλέα,	(the) king,
ἐπινεσαν·	they-applauded;
πλείους	more
ή	than
δισχίλιοι	two-thousand (soldiers)
παρὰ	from
Δὲ	—
Ξενίου	Xenias
καὶ	and
Πασίωνος,	Pasion,
λαβόντες	taking
τὰ	(their)
ὅπλα	arms
καὶ	and
τὰ	(their)
σκευοφόρα	baggage
ἐστρατοπεδεύσαντο	encamped
παρὰ	with
Κλεάρχω.	Clearchus.
Κῦρος	Cyrus
δὲ	being-perplexed
ἀπορῶν	and
τε	also
καὶ	distressed
λυπούμενος	at-these-things,
τούτοις,	sent-for
μετεπέμπετο	Clearchus;
τὸν	who
Κλέαρχον·	however
ὁ	would
δὲ	not
ἤθελε	go,
οὐ	unknown
μὲν	however
ἰέναι,	(to)
λάθρα	the
δὲ	soldiers,
τῶν	sending
στρατιωτῶν	(a)
πέμπων	messenger
ἄγγελον	to-him,
αὐτῷ	he-told
ἔλεγε	(him)
θαρρεῖν,	to-be-of-good-courage
ὡς	| as
τούτων	these-things
καταστησομένων	being-arranged
εἰς	in
τὸ	the
δέου·	req tired-manner; [as those affairs would be satisfactorily arranged];
δὲ	also
ἐκέλευεν	(he requested Cyrus)
μεταπέμπεσθαι	to-send
αὐτὸν·	(and again) request
δ'	him
αὐτὸς	(to come to him);
ἔφη	but he (after being sent for again) said
οὐκ	(that he would) not
ἰέναι.	go.
Μετὰ	After
δὲ	this
ταῦτα	assembling
συναγαγών	| the
τούς	soldiers
δὲ	of-himself,
στρατιώτας	[his soldiers)
ἑαυτοῦ,	and
καὶ	(those)
τοὺς	having-joined
προσελθόντας	him,
αὐτῷ,	and
καὶ	the
τὸν	desirous
βουλόμενον	of-the
τῶν	other
ἄλλων,	(soldiers to be present),
έλεξε	he-spoke
τοιάδε.	thus (to them.)
῎Ανδρες	Men
στρατιῶται,	soldiers,
μὲν	(it is)
δη	indeed
δῆλον	evident
ὅτι	that
τὰ	the
Κύρου	(affairs)
ἔχει	of-Cyrus
οὕτως	hold (themselves) so
πρὼς	to
ἡμᾶς,	us,
ὥσπερ	as
τὰ	our
ἡμέτερα	(affairs do)
πρὸς	to
ἐκεῖνον·	him; [the affairs of Cyrus are in the same relation to us, that ours are to him];
γὰρ	for
οὔτε	neither
ἡμεῖς	(are) we
ἔτι	now
γε	(the)
ἐπεί	soldiers
στρατιῶται	of-him
ἐκείνου	[his soldiers]
οὐ	at least after we-do not
συνεπόμεθα	'follow
αὐτῷ,	him,
οὔτε	nor
ἐκεῖνος	(is) he
ἔτι	now
μισθοδότης	paymaster
ἡμῖν.	to-us.
Ὅτι	That
μήντοι	however
νομίζει	he thinks
ἀδικεῖσθαι	(himself) injured
ὑφ	by
ἡμῶν	us
οἶδα·	I-know;
καὶ	and
ὥστε	so-that
αὐτοῦ	he
μεταπεμτομένου	sending-for (me)
ἐθέλω	I-will
οὐκ	not
ἐλθεῖν,	have-gone, [go],
μὲν	indeed
τὸ	(what is)
μέγιστον,	the greatest,
αἰσχυνόμενος,	being-ashamed,
ὅτι	because
σύνοιδα	I-am-conscious
ἑμαυτῷ	to-myself (of)
ἐψευσμένος	having-deceived
αὐτόν	him
πάντα,	in-all (this),
καὶ	and
δὲ	indeed
ἔπειτα	then-also
δεδιώς,	having-feared,
μή,	lest,
λαβών	having-seized
με	me
ἐπιθῇ	| he-may-have-inflicted [he may inflict]
δίκην,	punishment,
ὧν	(for the things) | of-which [in which]
νομίζει	he-thinks
ἠδικῆσθαι	(himself) to-have-been-injured
ὑπ᾽	by
ἐμοῦ.	me.
Οὖν	Therefore
δοκεῖ	(this) seems
ἐμοὶ	to-me
εἶναι	to-be
οὐχ	no
ὥρα	time
ἡμῖν	for-us
καθεύδειν,	to-sleep,
οὐδ᾽	nor
ἀμελεῖν	to-neglect
ἡμῶν	our
αὐτῶν	selves
ἀλλὰ	but
βουλεύεσθαι	to-deliberate
ὅ,	what
τι	is-necessary
χρή	to-do
ποιεῖν	from
ἐκ	these
τούτων.	[next].
Καὶ	And
ἕως	as
τε	(long)
μένομεν	indeed (as)
αὐτοῦ,	we-remain here,
δοκεῖ	it-seems
μοι	to-me
εἶναι	to-be
σκεπτέον,	necessary-to-be-considered,
ὅπως	how
μενοῦμεν	we (may) remain
ἀσφαλέστατα,	the-most-securely,
εἴ	if
τε	also
ἤδη	(it) now
δοκεῖ	seems (best)
ἀπιέναι,	to-depart,
ὅπως	how
ἄπιμεν	we-may-depart
ἀσφαλέστατα,	the-most-safely,
καὶ	and
ὅπως	how
ἕξομεν	we-shall-have
τὰ	the
ἐπιτήδεια·	necessaries-of-life;
γὰρ	for
ἄνευ	without
τούτων	these (necessaries)
οὐδέν	| (there is) no
ὄφελος	advantage
οὔτε	| neither [either]
στρατηγοῦ	(to the) commander
οὔτε	| nor [or]
ἰδιώτου.	(to the private-soldier [the commander and private soldier are alike inefficient).
Δ᾽	But
ὁ	the
ἀνὴρ	man (is)
μεν	indeed
φίλος	(a) friend
ἄξιος	worthy
πολλοῦ	of-much (estimation)
ῷ	to-whom
ἂν	he may
ᾗ	be
φίλος,	(a) friend,
δὲ	but
χαλεπώτατος	(a) most-bitter
ἐχθρὸς,	enemy,
ᾧ	to whom
ἂν	he may
ᾗ	be
πολέμιος·	(an) enemy;
ἔχει	he-has
δὲ	also
καὶ	(a)
δύναμιν	force
και	both
πεζὴν	foot
καὶ	and
ἱππικὴν	cavalry,
καὶ	also
ναυτικήν,	(a) naval (one),
ἣν	which
πάντες	we all
ὁμίως	alike
ὁρῶμέν	see
τε	and
καὶ	also
ἐπιστάμεθα·	know;
καὶ	and (this is
γὰρ	not strange)
δοκοῦμέν	for we-seem
μοι	to-me
καθῆσθαι	| to-sit [to be encamped]
οὐδὲ	not-indeed
πόῤῥο	far-from
αὐτοῦ·	him;
ὥστε	wherefore
ὥρα	(it is) time
λέγειν	to-say
ὅ	what
τι	any-one
τις	knows
γιγνώσκει	to-be
εἶναι	better.
ἄριστον.	Saying
Εἰπὼν	this
ταῦτα	he-finished.
ἐπαύσατο.	Upon
Ἐκ	this
τούτο	then
δ'	(several)
ἀνίσταντο,	rose (to speak),
οἱ	-
μὲν	(some) indeed
ἐκ	of-their-own-accord,
τοῦ	| (about)-saying
αὐτομάτου,	[intending to say]
λέξοντες	what
ἃ	they-thought
ἐγίγνωσκον,	(of affairs)
καὶ	and
οἱ	-
δὲ	(others) indeed
ἐγκέλευστοι	ordered
ὑπ	by
ἐκείνου	him [Clearchus]
ἐπιδεικνύντες	pointing-out
οἷα	what
εἴη	might-be
ἡ	the
ἀπορία	difficulty
ἄνευ	without
τῆς	the
γνώμης	consent
Κύρου	of-Cyrus
καὶ	both
μένειν	to-remain
καὶ	and
ἀπιέναι.	to-go.
Δὲ	And
εἷς	one
δὴ	namely (of those instructed)
προσποιούμενος	pretending
σπεύδειν	earnestly-to-desire
πορεύεσθαι	to-proceed
ὡς	as
τάχιστα	speedily-as-possible
εἰς	to
τὴν	Greece,
Ἑλλάδα,	said,
εἶπε,	(that)
ἄλλους	other
στρατηγοὺς	commanders
μὲν	| to-have-been-chosen
ἐλέσθαι	[were to be chosen]
ὡς	as
τάχιστα,	speedily-as-possible,
εἰ	if
Κλέαρχος	Clearchus
μὴ	is not
βούλεται	willing
ἀπάγειν·	to-lead-them-back;
δὲ	(that)
τὰ	also
ἐπιτήδεια	the necessaries-of-life
ἀγοράζεσθαι,	are-to-be-bought,
δ᾽	for
ἦν	there-was
ἡ	(a)
ἀγορὰ	market
ἐν	in
τῷ	the
βαρβαρικῷ	barbarian
στρατεύματι,	army,
καὶ	and-also
συσκευάζεσθαι·	(the) baggage-is-to-be-packed-up;
δ	and
ἐλθόντας	(that they), going
Κύρον	to-Cyrus,
αἰτεῖν	to-ask-for
πλοῖα,	ships,
ὡς	in-order-that
ἀποπλέοιεν·	they-may-set-sail;
ἐὰν	if
δὲ	however
μὴ	he-do not
διδῷ	give
ταῦτα,	these,
αἰτεῖν	to-ask
Κύρον	Cyrus
ἡγεμόνα,	(for a) leader,
ὅσπις	who
ἀπάξει	will-lead (them)
διὰ	through
τῆς	the
φιλίας	friendly
χώρας.	countries.
Ἐὰν	If
δὲ	however
μηδὲ	he-does not-even
διδῷ	give
ἡγεμόνα	(a) leader
συντάττεσθαι	(they are) to-form-themselves-in-order-of-battle
τὴν	-
ταχίστην,	as-speedily-as-possible,
καὶ	and
δὲ	also
πεμψαι	| to-have-sent
προκαταληψομένους	hereafter preoccupying
τὰ	the
ἄκρα,	heights, [and alse to send men to take possession of the heights in advance],
ὅπως	so-that
μήτε	neither
Κῦρος	Cyrus
νήτε	nor
οἱ	the
Κίλικες	Cilicians
μὴ	| 'may not
καταλαβόντες	having-seized-upon
φθάσωσι	'have-occupied, [may not have anticipated us, in taking possession of these heights],
ὧν	of-whom [the Cilicians]
ἔχομεν	we-have
πολλοὺς	many-men
καὶ	and
πολλὰ	much
χρήματα	property
ἀνηρπακότες	having-taken-them-away-from-them.
Οὗτος	Thus
μὲν	indeed
δὴ	(in)
εἶπε·	this (manner)
τοιαῦτα	he-spoke;
δὲ	but
μετὰ	after
τοῦτον	this
Κλέαρχος	Clearchus
εἶπε	spoke
τοσοῦτον.	just-so-much.
Μηδεὶς	'Let no-one
ὑμῶν	of-you
λεγέτω	say
ὡς	that
μὲν	| I
ἐμε	(am)
στρατηγησοντα	about-leading-the-army
ταύτην	(in) this
τὴν	the
στρατηγίαν·	command (thereof); [that I will accept the ofice of commander];
γὰρ	for
ἐνορῶ	I-perceive
πολλά,	many-things
δι'	on-account-of
ἃ	which
τοῦτο	this
οὐ	'must not
ποιητέον	'be-done
ἐμοὶ·	by-me;
δ'	but (let him
ὡς	say) that
πείσομαι	I-shall-obey
ᾗ	in-as
μάλιστα	much-as
δυνατὸν,	possible,
τῷ	the
ἀνδρὶ	man,
ὃν	whom
ἂν	'you may
ἕλησθε,	'choose,
ἵνα	that
εἰδῆτε	you-may-see,
ὅτι	that
καὶ	also
ἐπίσταμαι	I-know-how
ἄρχεσθαι	to-be-commanded,
καὶ	| and
ὡς	even-thus
τις	as-much-as
μάλιστα	(any)
ἄλλος	other
ἀνθρώπων.	of-men [as well as any other man].
Μετὰ	After
τούτων	this
ἄλλος	another
ἀνέστη	arose (to speak)
ἐπιδεικνυς	pointing-out
μὲν	the
τὴν	simplicity
εὐήθειαν	(of him)
τοῦ	advising
κελεύοντος	to-ask
αἰτεῖν	(for)
τὰ	ships,
πλοῖα,	as-if
ὥσπερ	Cyrus
Κύρου	'weald not
μὴ	'hereafter
ποιουμένου	| be-making
τὸν	the
στόλον	fleet
πάλιν,	return, [order the fleet to return],
δ᾽	also
ἐπιδεικνὺς	showing
ὡς	how
εἴηθες	foolish
εἴη	(a thing) it-would-be
αἰτεῖν	to-ask-for
ἡγεμόνα	(a) leader
παρὰ	from
τούτου	this (very person)
ᾧ	whom
λυμαινόμεθα	we-are-frustrating
τὴν	(in)
πρᾶξιν.	(his) undertaking.
Καὶ	And
δὲ	also
εἰ	if
πιστεύσομεν	we-shall-confide
τῷ	in-the
ἡγεμόνι	leader,
ᾧ	whom
Κῦρος	Cyrus
ἂν	may
διδῷ,	give,
τί	what
κωλύει	hinders
Κύρον	(that) Cyrus
καὶ	'may also
κελεύειν	'order
τὰ	the
ἄκρα	heights
προκαταλαμβάνειν	| to-preoccupy
ἡμῖν;	for us? [to be preoccupied for us] ?
Γὰρ	For
ἐγὼ	I
μὲν	indeed
ὀκνοίην	shall-be-reluctant
ἂν	to-embark
ἐμβαίνειν	on
εἰς	(board)
τὰ	the
πλοῖα,	vessels,
ἃ	which
δοίη	he-might-give
ἡμίν,	us,
μὴ	lest
καταδύσῃ	he-should-submerge
ἡμᾶς	us
αὐταῖς	(together)
ταῖς	with-these
τριήρεσι	galleys
αὐταῖς·	themselves;
ἂν	'I should
δὲ	indeed
φοβοίμην	'be-afraid
ἕπεσθαι	to-follow
τῷ	the
ἡγεμόνι	guide
ὃν	whom
δοίη,	he-may-give,
μὴ	lest
ἀγάγη	he-might-lead
ἡμᾶς	us
ὅθεν	(to a place) whence
οὐκ	it-'wil not
ἔσται	'be
οἱόν	possible
τε	to-escape;
ἐξελθεῖν·	-
βουλοίμην	I-would-wish
δ'	-
ἂν	departing,
ἀπιών.	Cyrus
Κύρου	(being)
ἄκοντος,	unwilling,
ἀπελθών	depart
λαθεῖν	to-have-concealed
αὐτὸν·	[I would rather, if departing against the will of Cyrus, depart without his knowledge];
ὃ	which
ἐστιν	is
οὐ	not
δυνατόν.	possible.
᾿Αλλ'	But
ἐγώ	I
Φημι	say
ταῦτα	(that) these
μεν	(things)
εἶναι	indeed
φλυαρίας.	are absurdities;
δὲ	but
μοι	to-me
δοκεῖ	it-seems
ἄνδρας,	(that) men,
οἵτινες	who
ἐπιτήδειοι,	(are) fit,
ἐλθόντας	having-gone
πρὸς	to
Κύρον	Cyrus
σὺν	with
Κλεάρχῳ	Clearchus
ἐρωτᾶν	to-ask
ἐκεῖνον	him
τι	(for) what
βούλεται	(purpose) he-wished
χρήσθαι	to-use
ἡμῖν·	us;
καὶ	and
ἑὰν	if
μὲν	indeed
ἡ	the
πράξις	undertaking
ή	be
παραπλησία	similar
οιαπερ	(to that) in-which-kind
καὶ	'he also
πρόσθεν	before
ἐχρῆτο	'employed
τοῖς	-
ξένοις,	foreign-troops,
καὶ	and
ἡμᾶς	(that) we
ἔπεσθαι,	(should) follow (him),
καὶ	and
μὴ	(that we might) not
εἶναι	be
κακίους	worse (than)
τῶν	(those)
πρόσθεν	| before
συναναβάντων	going-up
τούτῳ·	with-him; [who before went up with him);
ἐὰν	but
δὲ	if
ἡ	the
πράξις	undertaking
φαίνηται	may-seem
μείζων	greater (than)
τῆς	the
πρόσθεν,	former,
καὶ	and
ἐπιπονωτέρα,	more-difficult,
καὶ	and
ἐπικινδυνοτέρα,	more-dangerous,
ἀξιοῦν	(then that we) request
ἢ	either
πείσαντα	(that) having-persuaded (us)
ἄγειν	to-lead
ἡμᾶς,	us (with him),
ἢ	or
πεισθέντα	having-been-persuaded (by us)
ἀφιέναι	(he would allow us to-depart
πρὸς	to
φιλίαν·	(a) friendly (country);
γὰρ	for
οὕτω	thus
καὶ	also
ἑπόμενοι	accompanying
αὐτῷ	him
φίλοι,	(as) friends,
καὶ	'we also
ἂν	may
ἑποίμεθα	'accompany (him)
πρόθυμοι	zealous (in his cause),
καὶ	and
ἀπιόντες	leaving (him)
ἂν	'we may
ἀπίοιμεν	'leave-him
ἀσφαλῶς·	safely;
δεῦρο	(that) here
ἀναγγείλαι	| they-have-announced [they report]
δ᾽	what
ἂν	(he)
λέγῃ	- may say
πρὸς	to
ταῦτα·	these (things);
δ᾽	and
ἡμᾶς	we
ἀκούσαντας	having-heard (it)
βουλεύεσθαι	to-deliberate
πρός	upon
ταῦτα.	these (things)
Ἔδοξε	It-seemed-good
ταῦτα,	(respecting) these-things, [these propositions were approved],
καὶ	and
ἑλόμενοι	having-chosen
ἀνδρας	men
πέμπουσι	they-send (them)
σὶν	with
Κλεάρχῳ,	Clearchus,
οἱ	who
ἠρώτων	asked
Κύρον	Cyrus
τὰ	| (respecting) the (things)
δόξαντα	were-seeming (good)
τῇ	to-the
στρατιᾷ.	army [the questions agreed on by the army].
Ὁ	Who
δ᾽	answered,
ἀπεκρίνατο,	that
ὅτι	he-hears
ἀκούει	(that)
᾿Αβροκόναν	Abrocomas
ἄνδρα	(a) man
ἐχθρὸν	inimical (to him)
εἶναι	is
ἐπὶ	on
τῷ	the
ποταμῷ	river
Εὐφράτη,	Euphrates,
ἀπεχοντα	being-distant
δώδεκα	twelve
σταθμούς·	days'-march;
ἔφη	he-said
οὖν	(that) therefore
βούλεσθαι	he-desires
ἐλθεῖν	to-go
πρὸς	against
τοῦτον·	this (Abrocomas);
κἂν	and-if
μὲν	he-were
ἦ	there
ἐκεῖ	he-said
ἔφῃ	(that)
χρήζειν	he-longed
ἐπιθεῖναι	to-have-inflicted
τὴν	punishment
δίκην	on-him
αὐτῷ	but
δ᾽	if
ἣν	he-retreat,
φεύγῃ,	we
ἡμεῖς	there
ἐκεῖ	will-deliberate
βουλευσόμεθα	about
προς	these-things.
ταύτα.	The
Οἱ	deputies
αἱρετοὶ	having-heard
ἀκούσαντες	-
δὲ	these-things
ταῦτα	announce
ἀγγέλλουσι	(them)
τοῖς	to-the
στρατιώταις·	soldiers;
δὲ	but
τοῖς	(to them)
μὲν	indeed
ἦν	there-was
ὑποψία	suspicion
ὅτι	that
ἄγει	he-is-leading (them)
πρός	against
βασιλέα,	(the) king,
δὲ	but
ὅμως	however
ἐδόκει	it-seemed (to them best)
ἔπεσθαι.	to-accompany (him).
Προραιτοῦσι	They-ask-for-more
δὲ	wages;
μισθον·	Cyrus
ὁ	promised
δὲ	to-give-hereafter
Κῦρος	to-all
ὑπισχνείται	the-half-more
δώσειν	(than that)
πᾶσι	which
ἡμιόλιον	they-had-received
οὗ	before,
ἔφερον	(that is)
πρότερον,	in-place-of
ἁντὶ	(a)
δαρεικοῦ	daric
τρία	three
ἡμιδαρεικα	half-darion
τοῦ	the
μηνὸς	month
τῷ	'to (each)
στρατιώτῃ·	'soldier;
δὲ	but
ὅτι	that
ἄγοι	he-might-be-leading
ἐπὶ	(them) against
βασιλέα,	(the) king,
οὐδεὶς	no-one
ἤκουσεν	heard,
οὐδὲ	not-even
ἐνταῦθα	there,
γε	(at least)
ἐν	indeed
τῷ	in
φανερῷ.	publíc.
Ἐντεῦθεν	HENCE
ἐξελαύνει	(Cyrus) proceeds
δύο	two
σταθμούς	days'-march
δέκα	(making) ten
παρασάγγας,	parasangs,
ἐπὶ	to
τὸν	the
ποταμόν	river
Ψάρον,	Psarus,
τὸ	the
εἶρος	breadth
οὗ	of-which
ἦν	was
τρία	three
πλέθρα.	plethra.
Ἐντεῦθεν	Thence
ἐξελαύνει	he-proceeds
ἕνα	one
σταθμὸν	days'-march
πέντε	(making) five
παρασάγγας	parasangs
ἐπὶ	to
τὸν	the
ποταμόν	river
Πύραμον,	Pyramus,
τὸ	the
εὐρος	breadth
οὗ	of which
στάδιον.	(is a) stadium.
Ἐνταῦθεν	Thence
ἐξελαύνει	he-proceeds
δύο	two
σταθμοίς	days'-march
πεντεκαίδεκα	(making) fifteen
παρασάγγας	parasangs
εἰς	to
Ἰσσούς	Issus,
ἐσχάτην	the-last
πόλιν	town
τῆς	in-Cilicia,
Κιλικίας,	(situated)
ἐπι	on
τῇ	the
θαλάττῃ,	sea (coast),
οἰκουμένην,	peopled,
μεγάλην	large
κα	and
εὐδαίμονα.	wealthy.
Ἐνταῦθα	Here
ἔμειναν	they-remained
τρεῖς	three
ἡμέρας·	days;
καὶ	and
αἱ	the
τριάκοντα	thirty
καὶ	and
πέντε	five
νῆες	ships
ἐκ	from
Πελοποννήσου	Peloponnesus
παρῆσαν	[were-present (for)
Κύρῳ,	Cyrus, [arrived at Cyrus's camp],
καὶ	and
ναύαρχος	(the) admiral
ἐπ᾿	over
αὐταῖς	them
Πυθαγόρας	(was) Pythagoras
Λακεδαιμόνιος.	(the) Lacedæmonian
Δὲ	But
Ταμὼς	Tamos
Αἰγύπτιος	(an) Egyptian
ἡγεῖτο	conducted
αὐτῶν	them
ἐξ	from
Ἐφέσου	Ephesus
έχων	having (with him)
πέντε	five
καὶ	and
εἴκοσιν	twenty
ἑτέρας	other
ναῦς	ships (belor ging to
Κύρου,	Cyrus,
αἷς	with-which
ἐπολιόρκει	he-(had)-besieged
Μίλητον	Miletus
ὅτε	when
ἦν	it-was
φίλη	friendly
Τισσαφέρνει,	to-Tissaphernes,
καὶ	and
συνεπολέμει	he-fought-with
Κύρῳ	Cyrus
πρὸς	against
αὐτον.	him.
Καὶ	And
δὲ	also
Χειρίσοφος	Cheirisophos
ὁ	the
Λακεδαιμόνιος	Lacedæmonian
παρῆν	was-present
ἐπὶ	on
τῶν	(board)
νεῶν,	the ships,
μετάπεμπτος	having-been-sent-for
ὑπὸ	by
Κίρου,	Cyrus,
ἔχων	he-having
ἑπτακοσίους	seven-hundred
ὁπλίτας,	heavy-armed (soldiers),
ὧν	of-whom
ἐστρατήγει	he-was-commander
παρὰ	for
Κύρῳ.	Cyrus.
Αἱ	The
δὲ	ships
νῆες	moored
ὥρμουν	opposite
κατὰ	the
τὴν	tent
σκηνήν	of-Cyrus.
Κύρου.	Here
Ἐνταῦθα	also
καὶ	the
οἱ	Greek
Ἕλληνες	mercenaries,
μισθοφόροι	(who were)
παρ'	with
᾿Αβροκόμᾳ	Abrocomas,
ἀποστάντες	deserting-him
ἦλθον	went
παρὰ	to
Κῦρον,	Cyrus,
τετρακόσιοι	(in number) four-hundred
ὁπλῖται,	heavy-armed-men,
καὶ	and
συνεστρατεύοντο	accompanied-the-expedition
ἐπὶ	against
βασιλέα.	(the) king.
Ἐντεῦθεν	Hence
ἐξελαύνει	he-proceeds
ἕνα	one
σταθμὸν,	days'-march,
πέντε	(making) five
παρασάγγας	parasangs
ἐπὶ	to
πύλας	(the)
τῆς	gates [passes]
Κιλικίας	of-Cilicia
καὶ	and
τῆς	of-Syria.
Συρίας.	These
Ταῦτα	were
δ᾽	two
ἦσαν	walls,
δύο	and
τείχη,	(of)
καὶ	the
τὸ	internal
μὲν	(one)
ἔσωθεν	(that)
τὸ	before
πρό	Cilicia,
τῆς	Syennesis
Κιλικίας	and
Συέννεσις	(a)
καὶ	guard
φυλακή	of-Cilicians
Κιλίκων	had
εἶχε	(charge);
δὲ	but
τὸ	the
ἔξω,	external (one),
το	-
πρὸ	(that) before
τῆς	Syria,
Συρίας,	it-was-said
ἐλέγετο	(that a)
φυλακή	guard
βασιλέως	'of (the)
φυλάττειν.	'king's (soldiers) guarded-it.
Διά	| Through
μέσου	(the)
δὲ	middle
τούτων	of-these [between these two walls]
ποταμός	(a) river
Κάρσος	Carsus
ὄνομα	(by) name
ῥεῖ,	flows,
εὖρος	(the) breadth
πλέθρου.	(being a) plethrum.
Δὲ	But
ἅπαν	the-whole
τὸ	middle
μέσον	(space between)
τῶν	the
τειχῶν	walls
ἦσαν	were
τρεῖς	three
στάδιοι·	stadia;
καὶ	and
παρελθεῖν	to-have-passed
βίᾳ	by-force
ἦν	was
οὐ·	not (possible);
γὰρ	for
ἡ	the
πάροδος	passage
ἦν	was
στενὴ	narrow,
καὶ	and
τὰ	the
τείχη	walls
καθήκοντα	reaching
εἰς	to
τὴν	the
θάλατταν,	sea,
ὕπερθεν	above
δ᾽	also
ἦσαν	were
ἠλίβατοι	impassable
πέτραι·	rocks;
δὲ	and
πύλαι	(the)
ἐφειστήκεσαν	passes (had) stood-by
ἑπὶ	(at)
ἀμφοτέροις	each
τοῖς	(of) the
τείχεσιν.	walls.
Ἔνεκα	(It was) on-account-of
ταύτης	this
